<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C67740B30>,160.42691879999998
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,18.08001
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,103.23395640000001
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,258.09733
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,139.0468978
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,50.8603592
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,7.7936651999999995
<generator object binance_liquidation.<locals>.<genexpr> at 0x0000015C676ECCF0>,104.7708243
BTCUSDC,SELL,LIMIT,IOC,0.089,59652.8,59850.8,FILLED,0.089,0.089,1723220679460,5309.0992
BTC,SELL,LIMIT,IOC,0.020,59606.44,59826.72,FILLED,0.015,0.020,1723220680376,1192.1288000000002
BTC,SELL,LIMIT,IOC,0.009,59592.91,59820.00,FILLED,0.009,0.009,1723220682119,536.33619
BTC,SELL,LIMIT,IOC,0.008,59568.10,59789.90,FILLED,0.008,0.008,1723220685069,476.5448
BTC,SELL,LIMIT,IOC,0.047,59557.67,59784.00,FILLED,0.047,0.047,1723220687207,2799.21049
BTC,SELL,LIMIT,IOC,0.013,59542.57,59772.50,FILLED,0.013,0.013,1723220693074,774.05341
LISTA,SELL,LIMIT,IOC,313,0.3542911,0.3595000,FILLED,133,313,1723220693226,110.89311430000001
ETH,SELL,LIMIT,IOC,0.074,2558.82,2568.73,FILLED,0.074,0.074,1723220693409,189.35268
BTC,SELL,LIMIT,IOC,0.170,59534.83,59760.00,FILLED,0.170,0.170,1723220695508,10120.921100000001
ETH,SELL,LIMIT,IOC,2.110,2558.48,2568.26,FILLED,2.110,2.110,1723220696338,5398.3928
ETH,SELL,LIMIT,IOC,0.232,2558.40,2568.75,FILLED,0.232,0.232,1723220697343,593.5488
XRP,BUY,LIMIT,IOC,1000.0,0.5821,0.5792,FILLED,1000.0,1000.0,1723220698097,582.0999999999999
XRP,BUY,LIMIT,IOC,89.9,0.5821,0.5792,FILLED,89.9,89.9,1723220700370,52.33079
SAGA,SELL,LIMIT,IOC,181.7,1.2331516,1.2508000,FILLED,119.1,181.7,1723220711531,224.06364571999998
XRP,BUY,LIMIT,IOC,115.4,0.5827,0.5799,FILLED,115.4,115.4,1723220719063,67.24358000000001
KAS,BUY,LIMIT,IOC,11669,0.1660965,0.1637355,FILLED,4418,11669,1725961105106,1938.1800585
TON,BUY,LIMIT,IOC,910.5,5.3173500,5.2648962,FILLED,21.3,910.5,1725961106274,4841.447175
CAKE,BUY,LIMIT,IOC,133,1.7569855,1.7300000,FILLED,93,133,1725961123525,233.67907150000002
NEIROETH,BUY,LIMIT,IOC,1436,0.1896151,0.1878000,FILLED,1436,1436,1725961125207,272.2872836
